,CourseNum,CourseName,Credits,Description,Topics
10,ECE220,Computer Systems & Programming,b'4',"
Advanced use of LC-3 assembly language for I/O and function calling convention. C programming, covering basic programming concepts, functions, arrays, pointers, I/O, recursion, simple data structures, linked lists, dynamic memory management, and basic algorithms. Information hiding and object-oriented design as commonly implemented in modern software and computer systems programming. Prerequisite: ECE_120. Restricted to Computer Engineering or Electrical Engineering majors or transfer students with ECE Department consent.
","Assembly language programming with subroutines and stacks, Basic programming concepts in C, Functions, Arrays, Pointers, I/O, Recursion, Simple data structures such as linked lists and trees, Basic sorting algorithms, Concepts in object-oriented programming"
11,ECE297,Individual Study,b'1',"
Individual projects. Approved written application to department as specified by department or instructors is required. Approved for both letter and S/U grading. May be repeated in separate terms to a maximum of 2 hours. Prerequisite: Consent of instructor.
",
12,ECE298,Special Topics,b'1 to 4',"
Lectures and discussions relating to new areas of interest. May be repeated in the same or separate terms for unlimited hours if topics vary. See class schedule for topics and prerequisites.
",
13,ECE304,Photonic Devices,b'3',"
Introduction to active and passive photonic devices and applications; optical processes in semiconductor and dielectric materials including electrical junctions, light emission and absorption, and waveguide confinement; photonic components such as light emitting diodes, lasers, photodetectors, solar cells, liquid crystals, and optical fiber; optical information distribution networks and display applications. Prerequisite: PHYS_214.
",This is an introductory course on active and passive photonic devices and applications. The cellular phone and its associated information distribution systems are used to introduce and motivate the study of photonic devices.
14,ECE307,Techniques for Engrg Decisions,b'3',"
Modeling of decisions in engineering work and the analysis of models to develop a systematic approach to making decisions. Fundamental concepts in linear and dynamic programming; probability theory; and statistics. Resource allocation; logistics; scheduling; sequential decision making; siting of facilities; investment decisions; application of financial derivatives; other problems for decision making under uncertainty. Case studies from actual industrial applications illustrate real-world decisions. Prerequisite: ECE_210; credit or concurrent registration in ECE_313.
","Resource allocation decision making using the linear programming framework: problem formulation; basic approach; duality; economic interpretation; sensitivity analysis; interpretation of results Scheduling and assignment decisions using network flow concepts: trans-shipment problem formulation and solution; application to matching decisions; network optimization; scheduling applications Sequential decision making in a dynamic programming framework: nature of dynamic programming approach; problem formulation; solution procedures; key limitations Probability theory: random variables; probability distribution; expectation; conditional probability; moments; convolution Statistical concepts: data analysis; statistical measures; estimation Application of probabilistic concepts to the modeling of uncertainty in decision making: modeling of the impacts of uncertainty; applications to siting, investment and price volatility problems Decision making under uncertainty: decision trees; value of information; uses of data; sensitivity analysis and statistics Case Studies Resource allocation decision making using the linear programming framework: problem formulation; basic approach; duality; economic interpretation; sensitivity analysis; interpretation of results Scheduling and assignment decisions using network flow concepts: trans-shipment problem formulation and solution; application to matching decisions; network optimization; scheduling applications Sequential decision making in a dynamic programming framework: nature of dynamic programming approach; problem formulation; solution procedures; key limitations Probability theory: random variables; probability distribution; expectation; conditional probability; moments; convolution Statistical concepts: data analysis; statistical measures; estimation Application of probabilistic concepts to the modeling of uncertainty in decision making: modeling of the impacts of uncertainty; applications to siting, investment and price volatility problems Decision making under uncertainty: decision trees; value of information; uses of data; sensitivity analysis and statistics Case Studies and Presentations"
15,ECE310,Digital Signal Processing,b'3',"
Introduction to discrete-time systems and discrete-time signal processing with an emphasis on causal systems; discrete-time linear systems, difference equations, z-transforms, discrete convolution, stability, discrete-time Fourier transforms, analog-to-digital and digital-to-analog conversion, digital filter design, discrete Fourier transforms, fast Fourier transforms, spectral analysis, and applications of digital signal processing. Prerequisite: ECE_210.
","Overview of digital signal processing Discrete-time linear shift-invariant systems Difference equations Complex numbers and functions of a complex variable Convolution and impulse response z-transform Transfer functions and block diagrams Convolution via z-transform Stability Discrete-time Fourier transform (DTFT) Digital frequency and frequency response Sampling Analog frequency response of a digital processor A/D and D/A conversion Interpolation and oversampling A/D, D/A FIR and IIR filter structures Generalized linear phase FIR filter design IIR filter design Discrete Fourier transform (DFT) Spectral analysis Fast Fourier transform (FFT) Applications to speech, audio/music, medical imaging, communications, etc."
16,ECE311,Digital Signal Processing Lab,b'1',"
Companion laboratory for ECE_310. Prerequisite: Credit or concurrent registration in ECE_310.
",Orientation and overview of Python and DSP (2 hrs) DSP and image processing applications (1 hour)
17,ECE313,Probability with Engrg Applic,b'3',"
Probability theory with applications to engineering problems such as the reliability of circuits and systems to statistical methods for hypothesis testing, decision making under uncertainty, and parameter estimation. Same as MATH_362. Credit is not given for both ECE_313 and MATH_461. Prerequisite: MATH_286 or MATH_415.
","Probability spaces Conditional probability and independence Bayes' rule and decision making under uncertainty Reliability of systems Random variables Many random variables Applications Limit theorems Probability spaces Conditional probability and independence Basic probability distributions and how they arise Bayes' rule and decision making under uncertainty Reliability of systems Random variables Functions of random variables Many random variables (joint distributions, covarince, prediction, etc.) Applications Limit theorems Calculus Basic linear algebra ECE 365 - Data Science and Engineering ECE 461 - Digital Communications ECE 418 - Image and Video Processing ECE 438 - Communication Networks ECE 459 - Communications I ECE 463 - Digital Communications Laboratory"
18,ECE314,Probability in Engineering Lab,b'1',"
Designed to be taken concurrently with ECE_313, Probability in Engineering Systems, to strengthen the students' understanding of the concepts in ECE_313 and their applications, through computer simulation and computation using the Python programming language. Topics include sequential hypothesis testing, parameter estimation, confidence intervals, Bloom filters, min hashing, load balancing, inference for Markov chains, PageRank algorithm, vector Gaussian distribution, contagion in networks, principle component method and linear regression for data analysis, investment portfolio analysis. Prerequisite: Concurrent enrollment in ECE_313 or credit in one of: ECE_313, IE_300, STAT_410.
","sequential hypothesis testing, parameter estimation, confidence intervals, Bloom filters, min hashing, load balancing, inference for Markov chains, PageRank algorithm, vector Gaussian distribution, contagion in networks, principle component method and linear regression for data analysis, investment portfolio analysis."
19,ECE316,Ethics and Engineering,b'3',"
Ethical issues in the practice of engineering: safety and liability, professional responsibility to clients and employers, whistle-blowing, codes of ethics, career choice, and legal obligations. Philosophical analysis of normative ethical theories. Case studies. Same as PHIL_316. Credit is not given for both ECE_316 and CS_210. Junior standing is required. Prerequisite: RHET_105.This course satisfies the General Education Criteria for:Advanced CompositionHumanities - Hist & Phil","To read and think critically To develop moral reasoning skills To improve writing skills in an engineering context To understand multiple perspectives and to respect others of diverse persuasions To study the fundamental structure of human personhood — what does it mean to be a human being — the grounding of moral action, and the development of moral character as the precondition of integral work in a profession and the essential foundation necessary for our life together in society Ethical Theories: Teleological and Deontological Perspectives The Nature of Engineering: Experimentation, Safety, Risk, and Liability Attributes of a Profession, Relationship with Clients Obligations to Employers: Loyalty, Conflict of interest, Confidentiality Whistle-Blowing (i.e., Bringing Moral Issues to Light), Rights of Engineers Codes of Ethics Career Choice The Profession and Legal Obligations, Licensing Social Impact of Technology, Environmental Ethics, Stewardship and Sustainability Charles E. Harris, Jr., Michael S. Pritchard, Ray James, Elaine Englehardt, Michael J. Rabins,  (Boston, MA: Cengage Learning, 2019) A three-volume integrated set of course readings —    — available in the textbook department at the Illini Union Bookstore , 17  ed. (Chicago: University of Chicago Press, 2017) — available online through the University Library home page at  . See the direct link through the course home page under “Important Tools” at  William Strunk, Jr.,   (New York: Harcourt, Brace and Company, 1920) — available online through “Project Gutenberg.” See the link on the course home page under “Important Tools” at  To read critically — and to engage in informed in-class discussion and dialogue — selected chapters from  . ( ,  ,  ) To develop the skill of critical reading and writing. ( ,  ) To relate all that we read to our career-path responsibilities. ( ) To understand and inculcate the importance of life-long learning. ( ) To learn the skill, the purpose, and the logic of source citation — using   “notes and bibliography” citation format ( ) To understand and apply the principles of effective writing ( ,  ) To write a clear, accurate, and concise summary of the mains points of an article. ( ) To identify an author's implicit presuppositions and informing worldview. ( ,  ,  ) To evaluate the strengths and weaknesses of an argument in an article. ( ,  ,  ) To explore the grounding of the fundamental principles of moral action that will guide a person throughout one’s life, and will provide a worldview perspective informing all of one’s decisions in one’s chosen career path. ( ,  ,  ) To acquire conceptual tools necessary to evaluate possible consequences to proposed actions from both a teleological and deontological perspective. ( ,  ,  ) To express ideas in clear writing — and in dialogue with one’s neighbor in peer-review analysis. ( ,  ,  ,  ) To revisit the readings from the beginning weeks of the course in light of our work together on normative ethical theories, and to apply worldview analysis and moral principles in our study of the readings and case studies in the final stage of the course entitled “windows into applied ethics.” ( ,  ,  ,  ) To use the library and electronic tools to find scholarly sources that will enable one to engage and explore a contemporary ethical issue. ( ,  ,  ) To formulate a thesis statement, to construct and focus sound arguments in support of the thesis, and to address possible counter-arguments to one’s position — clearly in writing. ( ,    ) To learn the importance of peer-review analysis, continuing the peer-review exchange and discussion with one’s neighbor that was begun in the review of response paper two. ( ,  ,  ,  ) To develop skills in spoken communication by presenting the main conclusions of the research project in a five minute slide presentation, followed by questions and dialogue with the class. ( ) To explore the relationship between moral character and professional identity by relating personal goals to vocational objectives. ( ,  ,  ) To develop the skill of textual analysis, interpretation, and application — beginning with the study on one’s own self — addressing the constraints and obstacles one may face (internally and externally) that could block, hinder, or diminish the actualization of one’s goals and professional responsibilities. ( ,  ,  )"
20,ECE317,ECE Technology & Management,b'3',"
Basic understanding of electrical and computer engineering concepts applicable to technology management. Circuit components; dc fundamentals; ac fundamentals; semiconductors; operational amplifiers; device fabrication; power distribution; digital devices; computer architecture (including microprocessors). Intended for the Business Majors in the Technology and Management program. Credit is not given to Computer or Electrical Engineering majors. Prerequisite: One of MATH_220, MATH_221, MATH_234.
",Introduction to DC fundamentals AC Fundamentals Semiconductors Integrated Circuit Digital Logic Computer Architecture (including microprocessors) Introduction to DC fundamentals AC Fundamentals Semiconductors Integrated Circuit Digital Logic Computer Architecture (including microprocessors)
